lei,bic,legalName,countryCode
213800EAH8D3XRUTLS59,ACPPGB21XXX,"ASTELLON CAPITAL PARTNERS LLP",GB
213800MYGKX2HTG4WQ20,STPIGR21XXX,"ΣΥΝΕΤΑΙΡΙΣΤΙΚΗ ΤΡΑΠΕΖΑ ΠΙΕΡΙΑΣ - ΟΛΥΜΠΙΑΚΗ ΠΙΣΤΗ ΣΥΝ.Π.Ε.",GR
213800S4ZNRQLEHSD331,BAIPCVCVXXX,"BANCO BAI CABO VERDE S.A.",CV
213800HZTUSEIN3M1Z46,POYRGB21XXX,"CAMBRIDGE ",GB
213800LXFHRRXIJRXW97,AFFCNGLAXXX,"AFRICA FINANCE CORPORATION",NG
213800DRPZ5C6375UQ12,CLDLGB21XXX,"COLOGNY ADVISORS LLP",GB
213800QCI7X27H677R39,QUITGB21XXX,"QUILTER CHEVIOT LIMITED",GB
213800XRUPSOZUPSF553,CODUGB21XXX,"COFUNDS LIMITED",GB
213800ED8YJ253EPTV49,TOTVGB21XXX,"TOP TECHNOLOGY VENTURES LIMITED",GB
213800M1ZX1KFCSF1B71,GIMLGB2LXXX,"GENESIS INVESTMENT MANAGEMENT, LLP",GB
213800GJE1F89TNGZS70,JNFXGB2LXXX,"JNFX LIMITED",GB
2138006YWTJ8WVTDWK64,FXPRGB21XXX,"FXPRO UK LIMITED",GB
213800ZG6QXSK9G9GO74,ABFIGB21XXX,"PGMS (GLASGOW) LIMITED",GB
213800247F9DRTHRPW30,INUAGB21XXX,"INVESTEC FUND MANAGERS LIMITED",GB
213800GMUK1ZLZPLGI29,LIMTSGS1XXX,"LIM ",SG
213800ZDM6RI77ZDQ891,HEFNGB21XXX,"HENDERSON FUND MANAGEMENT LIMITED",GB
LIB53HNVE3JIHIGVGQ03,FIMGBEBBXXX,"BNP PARIBAS ASSET MANAGEMENT BELGIUM",BE
213800MWJ1TXNQIF5J22,TOELGB21XXX,"TOURMALINE EUROPE LLP",GB
213800B51FP17LGMHI59,CAKKGB21XXX,"RM CAPITAL MARKETS LIMITED",GB
213800VEN92NOOOJF520,IVESMUMUXXX,"INVESTEC BANK (MAURITIUS) LIMITED",MU
213800Z3ZY4YJFQE8V16,NAOTAU61XXX,"WEALTHHUB SECURITIES LIMITED",AU
213800N8NK41P3YXTJ89,CONHILI1XXX,"CONTECH L.P.",IL
213800SCELOUHKL5AP84,SWICGB21XXX,"SWISS INVESTMENT CORPORATION LIMITED",GB
213800ANMAAZGPH2NN22,ESVTTWTAXXX,瀚亞證券投資信託股份有限公司,TW
2138004U3NLEWA5ZHY32,PIRTGB2LXXX,"PIRELLI INTERNATIONAL PLC",GB
213800SVCJUHY6VX7884,BKCHGB2UXXX,"BANK OF CHINA (UK) LIMITED",GB
213800KLOW6MD7632580,SUCRGB21XXX,"SUN GLOBAL INVESTMENTS LIMITED",GB
213800ZJEUQ8ZOC9AL24,CRNEGB2SXXX,"CAIRN ENERGY PLC",GB
213800S3IRIPK1R3JQ58,REDBGB21XXX,"REDMAYNE-BENTLEY LLP",GB
213800STWHOOKPRZYF07,MSALGB21XXX,"MET ASSET MANAGEMENT UK LLP",GB
213800PX57VULWV8AK43,UYTBGB31XXX,"UNITY TRUST BANK PLC",GB
213800OZO2PQP43WCZ92,RCMKGB21XXX,"RIA CAPITAL MARKETS LIMITED",GB
213800WPTIY9961G2O04,TXMKGB21XXX,"XTX MARKETS LIMITED",GB
213800J84XVGP446FR39,BIBSGB21XXX,"BATH INVESTMENT ",GB
213800NISCV8CQI6LW27,NRNBGB2LXXX,"VIRGIN MONEY PLC",GB
213800E8CRYM2HV3E816,MUCMGB21XXX,"MULVANEY CAPITAL MANAGEMENT LIMITED",GB
213800KBMZEOIJU77J66,WOTRGB21XXX,"WOLVERINE TRADING UK LIMITED",GB
213800T9OJMZA69QDM04,ABCCGB22XXX,"SOVA CAPITAL LIMITED",GB
213800KL2QZT2GQMQQ34,LCMLGB21XXX,"LOUIS CAPITAL MARKETS UK LLP",GB
213800DA888C8JEFHX93,IMIAGB21XXX,"JLT INVESTMENT MANAGEMENT LIMITED",GB
213800LCDPGJ1BI7KX98,DVKAKZKAXXX,"JSC DEVELOPMENT BANK OF KAZAKHSTAN",KZ
213800SZZD4E2IOZ9W55,ALLIGB21XXX,"ALLIANCE TRUST PLC",GB
213800ISPOVAZO9F9D70,HCPLGB21XXX,"HANSA CAPITAL PARTNERS LLP",GB
2138005SP78ELT822P61,NEDEBEB1XXX,"KBC SECURITIES",BE
2138002ZKYBVIEH1MI41,GLIRGB21XXX,"GLOBAL INVESTMENT STRATEGY UK LIMITED",GB
2138006FA8JJ1ABSHO31,LCMRUS31XXX,"LOUIS CAPITAL MARKETS LP",US
213800YUV362W4E1LP46,HMHMSESSXXX,"H ",SE
213800SUA4ONWVG1W711,SAUHGB21XXX,"SAUNDERSON HOUSE LIMITED",GB
213800TPOR8UE5PHPX60,WCDCGB21XXX,"WILLIS TOWERS WATSON SECURITIES EUROPE LIMITED",GB
213800B2Z5KT33SW4D67,CNBTIMDDXXX,"CAYMAN NATIONAL BANK (ISLE OF MAN) LIMITED",IM
2138004G59FXEAZ6IO10,COBSGB21XXX,"COVENTRY BUILDING SOCIETY",GB
213800EMUW8RV61NGP70,CIURGB21XXX,"CAURI LTD",GB
213800R4F8HHN2TEAM53,MPOSGB31XXX,"MYPOS EUROPE LTD",GB
2138005UHP5J9Y2RM657,FRGSJESHXXX,"FERGUSON HOLDINGS LTD",CH
2138001CNF45JP5XZK38,KONEFI22XXX,"KONE OYJ",FI
213800HJ715VLH7RDS70,FONRITM1XXX,"FONDENERGIA FONDO PENSIONE",IT
213800HYE2VYP5WKFI43,HFICCY2NXXX,"HOUSING FINANCE CORPORATION",CY
213800AQHMYPEH8NNA33,BRBAGB2LXXX,"BANK OF BEIRUT (UK) LTD",GB
213800HUKPYHUTENTG87,KDIMGB21XXX,"KNOX D'ARCY INVESTMENT MANAGEMENT LIMITED",GB
213800SK7JU5D3GJBW27,MCIAGB21XXX,"MCHATTIE INVESTMENT MANAGEMENT LIMITED",GB
213800WHCGP3NLXKU688,ALFAKZKAXXX,"ALFA-BANK JSC SB",KZ
2138002AT45AHRMAH991,RANNUS41XXX,"RANGER INTERNATIONAL MANAGEMENT, LP",US
213800T451MEGRW6W205,BOIBAGAGXXX,"BOI BANK CORPORATION",AG
213800MUO1UFO9U9VH39,THRPGB21XXX,"THUNDERBIRD PARTNERS LLP",GB
213800H3MQH718V43A59,SBICJESHXXX,"STANDARD BANK JERSEY LIMITED",JE
213800111ONS9Z3VA813,PAMTGB21XXX,"PHOENIX ASSET MANAGEMENT PARTNERS LIMITED",GB
2138007QS5DDSY9HE584,FUVCGB21XXX,"FUTURE VALUE CONSULTANTS LIMITED",GB
213800XLNA7HKU4HR233,TOIMGB21XXX,"TOWRY INVESTMENT MANAGEMENT LIMITED",GB
213800QOYKM6VP77V440,KCPPAU21XXX,"KIS CAPITAL PARTNERS PTY LTD",AU
21380038XUUU6JI5WI02,GFFMGGS1XXX,"INVESTEC ASSET MANAGEMENT GUERNSEY LIMITED",GG
213800R1B3QMMKVP2A27,WIMEGB21XXX,"MERCER LIMITED",GB
213800N47WYUQEH6MW52,GULSHKH1XXX,"FE SECURITIES LIMITED",HK
213800X6OR959L7HXB53,DSPLGB21XXX,"DALTON STRATEGIC PARTNERSHIP LLP",GB
213800K128DDF4MTYT38,SAUTGB21XXX,"SAND AIRE LIMITED",GB
21380034TU2TI8CNZ578,LMAXGB2LXXX,"LMAX LIMITED",GB
2138002GAQFVOOCXUQ35,SIEABEBBXXX,"SOCIÉTÉ INTERNATIONALE DE TÉLÉCOMMUNICATIONS AÉRONAUTIQUES",CH
2138007JGI1M5YF7FJ53,FROSDK21XXX,"FRØS SPAREKASSE",DK
21380058TBT7QOXGOC76,STBAMTMTXXX,"SATABANK P.L.C.",MT
213800HX7FMPA2CIEF02,MCBPGB22XXX,"MCBRIDE PLC",GB
213800LH8X28724UZ616,SPCHCHGGXXX,"INTESA SANPAOLO PRIVATE BANK (SUISSE) MORVAL S.A.",CH
5493006VM2LKUPSEDU20,IFOMGB2LXXX,"INFORMA PLC",GB
213800URRQ4HTSWKXZ41,EBURGBB1XXX,"EBURY PARTNERS UK LIMITED",GB
213800ODGVRDOVDV4N89,RCIMGB21XXX,"ROYAL BANK OF CANADA INVESTMENT MANAGEMENT (U.K.) LIMITED",GB
2138005M8G9Y8YNMMZ66,BRNMGB21XXX,"DE BRAE INVESTMENT MANAGEMENT LIMITED",GB
21380082MJ8M1EQKKF56,NAMFSES1XXX,"NEKTAR ASSET MANAGEMENT AB",SE
213800LTKXLERCNH5Q83,CBLLITM1XXX,"COBRAL SRL",IT
213800EN6XZANR1AFE93,CLSKHKH1XXX,"CLSA CAPITAL LIMITED",HK
213800CF5G9GRZD2RV79,CLSEHKH1XXX,"CLSA LIMITED",HK
213800MYDO8WUITPGO40,UFADBMH1XXX,"UFG ADVISORS LIMITED",BM
213800BJFRCI88UOLL93,AGRKMTMTXXX,"AGRIBANK PLC",MT
2138007TCSMGLHKSD677,VEAEGB21XXX,"VENDOME ASSET MANAGEMENT LIMITED",GB
213800J23UDOYX616925,JHIMGB21XXX,"WAVERTON INVESTMENT MANAGEMENT LIMITED",GB
213800HCOGZP74OESA81,AXISGB2LXXX,"AXIS BANK UK LIMITED",GB
2138001S6HODIT2QSE84,SWFCGB21XXX,"SWISS FINANCE CORPORATION LIMITED",GB
21380071JTH8HJFJDK78,FCPAGB21XXX,"SANLAM INVESTMENTS UK LIMITED",GB
213800KOJ5JSZ6ID2R91,BALLDK21XXX,"BALLING SPAREKASSE",DK
213800EAQGGC37SGYS04,AVPTGB21XXX,"AVIVA PENSION TRUSTEES UK LIMITED",GB
54930016JCCSDQVZBE19,AINAUS41XXX,"AVIVA INVESTORS AMERICAS LLC",US
YSNZLTNDXKLPB9QGOZ10,COUAGB21XXX,"AVIVA INTERNATIONAL INSURANCE LIMITED",GB
E5C5M16QUC5ENFIRR536,AVVVITM1XXX,"AVIVA SPA",IT
8156002504D91F4E0F04,AVVTITM1XXX,"AVIVA VITA S.P.A.",IT
WJHQ8HJCNBR1V6EQ1R27,MORLGB2LXXX,"AVIVA INVESTORS GLOBAL SERVICES LIMITED",GB
969500FYD3E89HF4LW17,UFIFFRP1XXX,"UNION FINANCIERE DE FRANCE BANQUE",FR
969500JEKMZT5J60K945,AVVIFR21XXX,"AVIVA VIE - SOCIETE ANONYME D'ASSURANCES VIE ET DE CAPITALISATION - EN ABREGE AVIVA VIE",FR
969500CGJ8U85YXKYF85,MYRIFRP1XXX,"MYRIA ASSET MANAGEMENT, EN ABREGE MYRIA AM",FR
5493007CDYM7I1M5DZ80,FLIOGB21XXX,"AVIVA INVESTMENT SOLUTIONS UK LIMITED",GB
2138008EY5V67I9UY420,AVWRGB21XXX,"AVIVA WRAP UK LIMITED",GB
213800Y7WLJILTZZ5I67,ACGMGB21XXX,"IBP MARKETS LTD",GB
2138009Y45LBHF7XIV35,WSEEAEADXXX,"WALL STREET EXCHANGE CENTRE (L.L.C.)",AE
2138009W1RE5RKQCRZ04,PRNNGB21XXX,"SANLAM PRIVATE INVESTMENTS (UK) LTD",GB
213800DIYIKDWRCFOC55,JOIEGB21XXX,"JONESTRADING INTERNATIONAL LIMITED",GB
213800HTCKGCV7FZCG91,AMPTGB21XXX,"AMBROSIA CAPITAL LTD",GB
213800SMPWZVT6GGQZ69,EEAMGRA1XXX,"EUROBANK ASSET MANAGEMENT Α.Ε.Δ.Α.Κ.",GR
2138009MQOMM5QRC4N88,EIKBFOTFXXX,"BETRI BANKI P/F",FO
213800RGYOAL3KL2XL02,SSFUGB21XXX,"SSY FUTURES LTD",GB
9695003B4GY7P5GSUA73,ERISFRP1XXX,"HSBC ASSURANCES VIE (FRANCE)",GB
96950033RJ3K57CV8K37,SOFUFR21XXX,"HSBC REAL ESTATE LEASING (FRANCE)",FR
969500ZBU4NJ42XS6A44,ELFAFRP1XXX,"HSBC FACTORING (FRANCE)",FR
969500ZHEEPW5DIAI105,HEEFFRP1XXX,"HSBC EPARGNE ENTREPRISE (FRANCE)",FR
5493009Z5F07LWZYMK62,HASEHKHHXXX,"HANG SENG BANK, LIMITED",HK
969500HCJLWDO4YCYT40,HSFHFRPPXXX,"HSBC SFH (FRANCE)",FR
969500635NJW4KJBAT87,HSLFFRP1XXX,"HSBC LEASING (FRANCE)",FR
54930052CXDMNCCEM870,HSSCTWT1XXX,"HSBC SECURITIES (TAIWAN) CORPORATION LIMITED",GB
5493007R03ET9XE50N08,HBPHPHMMXXX,"HSBC SAVINGS BANK (PHILIPPINES) INC.",GB
213800BZ9V4RRA2IRN26,ULSBGB2BXXX,"ULSTER BANK, LIMITED",GB
2138008O64PY6OS36I10,CAPIESMMXXX,"CM CAPITAL MARKETS BOLSA, SOCIEDAD DE VALORES, S.A.",ES
213800SKT2I828UDNB81,STCKGB21XXX,"ALLIANCE TRUST SAVINGS LIMITED",GB
2138008JJ5PA8H5UIL69,JOISUS61XXX,"JONESTRADING INSTITUTIONAL SERVICES LLC",US
21380038NTY1PVJ3IY34,ARBUGB2LXXX,"ARBUTHNOT LATHAM ",GB
21380032DOSHV6AFSI63,BNAONL21XXX,"BNP PARIBAS OBAM N.V.",NL
213800OFPTFCEOS5TR91,EDPAGB21XXX,"EDINBURGH PARTNERS LIMITED",GB
213800P8QPUPE3SOGX14,NMAWGR21XXX,"THETIS CAPITAL ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ",GR
213800X27KHVIYF1DP61,PLUKGB21XXX,"PLUS500UK LTD",GB
213800STG3UV87MDGA96,CICRGB21XXX,"CHINA INTERNATIONAL CAPITAL CORPORATION (UK) LIMITED",GB
549300R6JDOZTOUPKM60,STLVGB21XXX,"STANDARD LIFE SAVINGS LIMITED",GB
54930090O4QNGA8IEC21,SPIRGB21XXX,"TOWER RESEARCH CAPITAL EUROPE LIMITED",GB
213800I92TAU7I3FP232,FTSILULLXXX,"CARDIF LUX VIE",LU
213800R62RPGBBLQRT21,CSTAGB2LXXX,"CHARLES STANLEY ",GB
213800CD235ST4TMNL94,BLICLULXXXX,"HSBC PRIVATE BANK (LUXEMBOURG) S.A",LU
213800L6ERIFAN15KI98,HSBCGB22XXX,"HSBC GLOBAL ASSET MANAGEMENT (UK) LIMITED",GB
21380081EP12LC86CB82,HBUKGB4BXXX,"HSBC UK BANK PLC",GB
2138002PETQIOI6YQU40,FONYGB22XXX,"FONDY LTD",GB
213800ICI7E9NI46L160,HSMBHKHHXXX,"HSBC GLOBAL ASSET MANAGEMENT (HONG KONG) LIMITED",HK
P3RPN9OJFCXUPJWB1Q09,HBMBMYKLXXX,"HSBC BANK MALAYSIA BERHAD",GB
213800JF3JFF6MMR2P36,VESBDK22XXX,"FYNSKE BANK A/S",DK
213800QR1BLUTLQGPF83,BPUINL21XXX,"BNP PARIBAS FUND III N.V.",NL
2138005IBE41C824QF22,VQISGB21XXX,"VANQUIS BANK LIMITED",GB
213800RMACLIXKKOY866,LTKULT21XXX,"LTL KREDITO UNIJA",LT
213800GI9A52IETUJJ18,MBUSGB21XXX,"MONMOUTHSHIRE BUILDING SOCIETY",GB
213800SGT5S6EKUW2987,FEMAMTMTXXX,"FERRATUM BANK P.L.C.",MT
5967007LIEEXZX8EA882,TINNNO21XXX,"TINN SPAREBANK",NO
9695009Q5VVALVEWDH43,SOIBFRP1XXX,SFM,FR
213800REBFN6T3PU8L97,AKRPSESSXXX,"AKELIUS RESIDENTIAL PROPERTY AB (PUBL)",SE
213800ZD31YIOEE51B19,ANWSGB22XXX,"ANGLIAN WATER SERVICES LIMITED",GB
213800D8Y3L51SB9F532,SPRXGB21XXX,"SPREADEX LIMITED",GB
213800S9XLLXTF1ASP18,THUCGB22XXX,"THE HUT.COM LIMITED",GB
213800JT1H4W9XL5LT32,HIMANPKAXXX,"HIMALAYAN BANK LIMITED",NP
213800F3IFWY8CWYWO07,UBKLGB2LXXX,"AHLI UNITED BANK (UK) PLC",GB
213800F785TUXEDPMN35,ABTEGB21XXX,"ALBEMARLE ASSET MANAGEMENT LIMITED",GB
213800I6CKXFIP79EX26,VPKSFR21XXX,"INDIGO PARK",FR
21380011ZYMBN21SZ194,CRASGB2LXXX,"CROWN AGENTS BANK LIMITED",GB
213800MDW41W5UZQIX82,WMHPGB2LXXX,"WILLIAM HILL PLC",GB
2138008XQGT18GHKTS56,ALHLGB21XXX,"ALBERT E SHARP LLP",GB
21380087Y9OIS46W9V26,CERCGB21XXX,"CEDAR ROCK CAPITAL LIMITED",GB
213800JNBE31YKDS3954,RIGRHKH1XXX,"RBC INVESTMENT SERVICES (ASIA) LIMITED",CA
549300IO4KGFGP7A6B14,SVSCGB21XXX,"SVS SECURITIES PLC",GB
2138004A38ZO2DEMSU28,ACVPGB21XXX,"ACG ADVISORS (UK) LLP",GB
213800DK2Y6OXICO2F34,TUIBTNTTXXX,"TUNIS INTERNATIONAL BANK",TN
2138002GNKN2GGDA1W76,EXSEGB21XXX,"EXOTIX PARTNERS LLP",GB
213800IEULHHEV1KGL34,CMBGGB21XXX,"CAMBRIDGE BUILDING SOCIETY",GB
213800YDGKX53231X481,CLSCGB21XXX,"CLARKSONS PLATOU FUTURES LIMITED",GB
213800TFHKG4Q3XKMI63,BECSGB21XXX,"BEAUMONT CORNISH LIMITED",GB
213800POPD476LX1UB82,MXISGB21XXX,"MAXIS INVESTMENTS LTD",GB
213800UBQT4F9F9N5E03,CUENGB21XXX,"CURRENCY UK LIMITED",GB
2138001T2QEV5RXMFI32,SIGVGB2LXXX,"SIGNATURE AVIATION PLC",GB
213800GNOS9QQ31DCK54,LIIVGB21XXX,"LINEAR INVESTMENTS LIMITED",GB
21380088OGGJUOBGLZ43,SMJCZAJCXXX,"HSBC SECURITIES (SOUTH AFRICA)",GB
213800V3EFO8FMJNPR06,BARCZWHXXXX,"FIRST CAPITAL BANK LIMITED",ZW
213800FD3LOR6LPZPH83,GTBIGB2LXXX,"GUARANTY TRUST BANK (UK) LIMITED",GB
213800FL6TGT7OP13174,DCCHGB2LXXX,"DCC HOLDINGS (UK) LIMITED",GB
213800N25VHLSIV47443,ACMIGB21XXX,"AVIOR CAPITAL MARKETS INTERNATIONAL LIMITED",GB
213800RUT3C1PCHUQP60,MBAAGB21XXX,"MARBLE BAR ASSET MANAGEMENT LLP",GB
213800EMGTT74XZB3H82,OLMWGB21XXX,"OLD MUTUAL WEALTH LIMITED",GB
213800FUOGGLQ4FL3R57,PNDKDKKKXXX,"PENSIONDANMARK PENSIONSFORSIKRINGSAKTIESELSKAB",DK
213800YRN7B3VWF9CZ24,UTMCGB21XXX,"B ",GB
213800G2682LV7UAU667,KANTGB2LXXX,"KANTOX LTD",GB
213800RZNIZJTS4C9P97,IFDCGB21XXX,"IFDC LIMITED",GB
213800IW53U9JMJ4QR40,ATHCGRA1XXX,"ΕΤΑΙΡΕΙΑ ΕΚΚΑΘΑΡΙΣΗΣ ΣΥΝΑΛΛΑΓΩΝ ΧΡΗΜΑΤΙΣΤΗΡΙΟΥ ΑΘΗΝΩΝ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ",GR
2138002GH184KUKM1248,BOIUHKH1XXX,"BOCOM INTERNATIONAL SECURITIES LIMITED",HK
213800H3COEKQ1BZJU21,HIFXGB2LXXX,"HIFX EUROPE LIMITED",GB
213800EVVIYZ6N5CYA85,SPIGGB21XXX,"SCHRODER REAL ESTATE INVESTMENT MANAGEMENT LIMITED",GB
2138002ENGNNMA7WK626,SCUTGB21XXX,"SCHRODER UNIT TRUSTS LIMITED",GB
2138004PM63R6524XR26,SIMLGB2LXXX,"SCHRODER INVESTMENT MANAGEMENT LIMITED",GB
213800E5SMXAVTVHI943,SIMDIDJ1XXX,"PT SCHRODER INVESTMENT MANAGEMENT INDONESIA",ID
213800G9XQZIV76VNB36,PIOEIE21XXX,"AMUNDI IRELAND LIMITED",IE
213800GENYLECAS14690,SVAMGB21XXX,"SVM ASSET MANAGEMENT LIMITED",GB
213800BGAMW3NVX5A432,GCSLGB21XXX,"GLOBAL CURRENCY EXCHANGE NETWORK LIMITED",GB
213800IMPV5IYAQVOR71,CATMGB21XXX,"PELLO HOLDINGS LIMITED",GB
213800S4ISEZPDMALS29,EXDEEGCXXXX,"EXPORT DEVELOPMENT BANK OF EGYPT",EG
213800PA2Q75PE1FIC23,GMBRGB21XXX,"GMG BROKERS LTD",GB
21380062EZANCJTT2O28,SHELNL2GXXX,"SHELL ASSET MANAGEMENT COMPANY B.V.",NL
213800RRX1TYUVV2R518,ARABGB2LXXX,"EUROPE ARAB BANK PLC",GB
213800CXIBLC2TMIGI76,STBZGB2SXXX,"SECURE TRUST BANK PUBLIC LIMITED COMPANY",GB
213800O2FTUPFGPH3J11,SILAGB2LXXX,"SOCIETY OF LLOYD'S",GB
213800SVCZ6YZ8YJI569,EINTGB2LXXX,"EUROSTAR INTERNATIONAL LIMITED",GB
213800B76FU2LH8AOQ08,MFUMGB21XXX,"MARLBOROUGH FUND MANAGERS LTD.",GB
213800RSZOU8QUI2OH34,LVFSGB21XXX,"LIVERPOOL VICTORIA FINANCIAL SERVICES LIMITED",GB
213800UQRHYN2BB9PP18,GVSEGIGGXXX,"GVC SERVICES LIMITED",GI
213800HWNCWH2LL2M396,WYAMGB21XXX,"WYETREE ASSET MANAGEMENT LTD.",GB
2138003RHCKH7ED3OW51,ALVMGB21XXX,"ALLIANCE TRUST EQUITY PARTNERS LIMITED",GB
2138003BPEJKCL54BL15,PSISGRA1XXX,"PRELIUM ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ",GR
2138009ZY9F63P4MCK37,PCPLGB21XXX,"POLUNIN CAPITAL PARTNERS LIMITED",GB
2138004UNDYXLICL8H10,MIGUGB21XXX,"MITON GROUP PLC",GB
213800T71F7VD5ANZI55,WCWBGB21XXX,"WALKER CRIPS GROUP PLC",GB
213800FHX4VCUAQI1I21,LIFPGB21XXX,"LIQUIDITY FINANCE LLP",GB
213800KGW98YMGR1B906,TRRDGB21XXX,"TRADERISKS LIMITED",GB
213800JN3VXHCGJHRC33,DEFLGB23XXX,"SUMITOMO MITSUI ASSET MANAGEMENT (LONDON) LIMITED",GB
213800VJ1GMACBBTYZ14,RLAMGB21XXX,"ROYAL LONDON ASSET MANAGEMENT LIMITED",GB
213800UTRFM2N8LMMT64,CIUMGB21XXX,"RLUM LIMITED",GB
213800KQLDOGF48T2I68,PCFGGB21XXX,"PCF BANK LIMITED",GB
213800SXS8EYUUA6SV95,DAESGB21XXX,"MIRAE ASSET SECURITIES (UK) LTD.",GB
21380023G8LF55V46281,EUMRGB22XXX,"EUROPEAN METAL RECYCLING LIMITED",GB
213800Y2NQNDVGJO7Y93,BRFNGB22XXX,"BROTHER FINANCE (U.K.) PLC",GB
213800K7TKCQHQ7V8Q83,EUSSGRA1XXX,"EUROXX ΧΡΗΜΑΤΙΣΤΗΡΙΑΚΗ Α.Ε.Π.Ε.Υ.",GR
213800UIMM88P3K5ZV42,GHOUGB2LXXX,"GATEHOUSE BANK PLC",GB
213800PVGRZAJC1ZAG14,KDKAGB22XXX,"KODAK ALARIS HOLDINGS LIMITED",GB
213800PUPN11J7TPEH97,RLAAGB21XXX,"ROYAL LIVER ASSET MANAGERS LIMITED",GB
21380044A6M8OU5BE124,TEAPGB21XXX,"TENAX CAPITAL LIMITED",GB
213800JZDXBI4OX4CI90,TOLMAGAGXXX,"TOLOMEO BANK LIMITED",AG
213800AG3HQ35SCTZQ84,GLALGB21XXX,"STRATA GLOBAL LIMITED",GB
213800UYAHIRLZ4NSN67,LOSADKKKXXX,"LÅN ",DK
213800NSS3EIP9IEMK16,ANNISES1XXX,"ALNAIR AB",SE
213800WFNXTV7R6OU669,NEPLGB21XXX,"NEWPEAK CAPITAL LLP",GB
213800Z6ZVP4TNER8851,RNINCY2NXXX,"RONIN EUROPE LIMITED",CY
213800GM8RB7MS4L3Z24,PMURGB2LXXX,"PANMURE GORDON (UK) LIMITED",GB
213800VIH5AL9VOSRF63,BESTDK22XXX,"BESTSELLER A/S",DK
2138006DHU9CTXV86Z88,AMNLGB21XXX,"APOLLO MANAGEMENT INTERNATIONAL LLP",GB
213800H8TQ9L5B5ZAX56,LCCNGB21XXX,"LONDON COMMUNITY CREDIT UNION LIMITED",GB
2138001WXZQOPMPA3D50,TREUGB21XXX,"TRADEWEB EUROPE LIMITED",GB
213800WTQKOQI8ELD692,KENTGB21XXX,"ONESAVINGS BANK PLC",GB
5493003MITCIX89B0R76,BSCOGB2LXXX,"BROWN SHIPLEY ",GB
213800NLJCYY4AZZLS92,FCMBGB2LXXX,"FCMB BANK (UK) LIMITED",GB
2138002M5U5K4OUMVV62,RINGDK22XXX,"RINGKJØBING LANDBOBANK. AKTIESELSKAB",DK
213800W381O32X1T4884,IPBOGB21XXX,"IPSWICH BUILDING SOCIETY",GB
2138004RRDC64K7UD291,SIBGGB21XXX,"SIGMA BROKING LIMITED",GB
2138008GPO4TWA5DY372,MHBSGB21XXX,"MARKET HARBOROUGH BUILDING SOCIETY",GB
213800AUWICF8C8Z8Q68,SHFIGB21XXX,"SHARP INTERNATIONAL FINANCE (U.K.) PLC",GB
2138008NSD1X1XFUK750,IBOGGRAAXXX,"ΤΡΑΠΕΖΑ OPTIMA BANK A.E.",GR
2138008AVF4W7FMW8W87,CECEROBUXXX,"CEC BANK S.A.",RO
213800PD7T6E6VXOJZ89,CIBQIMDDXXX,"CIB LIMITED",IM
213800ELIUA4BZ1ODV03,DBUKGB2LXXX,"THE COMMONWEALTH TRADE BANK PLC",GB
2138009CAEGO41Q6HB61,ALDBGB2PXXX,"ALDERMORE BANK PLC",GB
213800K6VJ62SKV9VL48,RAVEGGSPXXX,"RAVENSCROFT LIMITED",GG
213800KR9NISUMDWLR66,EPIMGB21XXX,"EPWORTH INVESTMENT MANAGEMENT LIMITED",GB
213800QRM76KC7Q86N58,GKGSHKH1XXX,"CGS-CIMB SECURITIES (HONG KONG) LIMITED",HK
213800XKPBKJWA4XG608,SPAGAU21XXX,"SPECTRUM ASSET MANAGEMENT LIMITED",AU
213800X1T29YFAYMPC26,SCEQGB21XXX,"SCOTTISH EQUITABLE PLC",GB
213800ZVIELEA55JMJ32,DIAGGB2LXXX,"DIAGEO PLC",GB
213800A1O379I6DMCU10,APSBMTMTXXX,"APS BANK P.L.C.",MT
213800HS1FEZRZZ8D775,MCMPGB31XXX,"MET CAPITAL MANAGEMENT LLP",GB
213800M4PALWKTSLLI88,MIERGB21XXX,"MILLENNIUM EUROPE LIMITED",GB
213800AE7WZ7XD54KI94,NOGSGRA1XXX,"ΒΟΡΕΙΟΥ ΕΛΛΑΔΟΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΠΑΡΟΧΗΣ ΕΠΕΝΔΥΤΙΚΩΝ ΥΠΗΡΕΣΙΩΝ",GR
213800D7VMLP6TBJ3J51,BAUAGB21XXX,"T. BAILEY FUND SERVICES LIMITED",GB
213800I4IKUQ2V3K8D40,IVPTGB21XXX,"GO INVESTMENT PARTNERS LLP",GB
549300WHU4EIHRP28H10,RBOSGB2LXXX,"THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY",GB
213800X9G8UWD7R85T71,MORVKYKYXXX,"MORVAL BANK ",KY
213800T9EJ233VTJLR16,FTGLGB21XXX,"FTT GLOBAL LIMITED",GB
